subject,condition,replication,leg,joint,time,angle
1,1,1,1,1,0,4.68288097664056
1,1,1,1,1,1,5.07312740393865
1,1,1,1,1,2,5.22977436358883
1,1,1,1,1,3,5.0832726607672
1,1,1,1,1,4,4.65239850197076
1,1,1,1,1,5,4.03747639753555
1,1,1,1,1,6,3.38898738622956
1,1,1,1,1,7,2.86374293685016
1,1,1,1,1,8,2.58593904331831
1,1,1,1,1,9,2.62162550907623
1,1,1,1,1,10,2.97025373392923
1,1,1,1,1,11,3.57162594360292
1,1,1,1,1,12,4.3276598184528
1,1,1,1,1,13,5.13144705043895
1,1,1,1,1,14,5.89442960585584
1,1,1,1,1,15,6.56235644159843
1,1,1,1,1,16,7.11803930184848
1,1,1,1,1,17,7.57354842041187
1,1,1,1,1,18,7.95786451066945
1,1,1,1,1,19,8.30399513319387
1,1,1,1,1,20,8.6389386298978
1,1,1,1,1,21,8.9780716456039
1,1,1,1,1,22,9.32410484626789
1,1,1,1,1,23,9.66883480676382
1,1,1,1,1,24,9.99598863753492
1,1,1,1,1,25,10.2850268563759
1,1,1,1,1,26,10.5167434298412
1,1,1,1,1,27,10.6798765217918
1,1,1,1,1,28,10.776363763687
1,1,1,1,1,29,10.8230752799626
1,1,1,1,1,30,10.8490623025019
1,1,1,1,1,31,10.8888394908172
1,1,1,1,1,32,10.9734533858648
1,1,1,1,1,33,11.1222727683595
1,1,1,1,1,34,11.3381832287999
1,1,1,1,1,35,11.6080838059308
1,1,1,1,1,36,11.9078446430606
1,1,1,1,1,37,12.209852487462
1,1,1,1,1,38,12.4900832910222
1,1,1,1,1,39,12.7320117086872
1,1,1,1,1,40,12.9259139314612
1,1,1,1,1,41,13.0655503811932
1,1,1,1,1,42,13.1460977845071
1,1,1,1,1,43,13.16619316452
1,1,1,1,1,44,13.1332205111284
1,1,1,1,1,45,13.0674845177509
1,1,1,1,1,46,13.0003357185829
1,1,1,1,1,47,12.9648738434268
1,1,1,1,1,48,12.9832333116551
1,1,1,1,1,49,13.0573998290641
1,1,1,1,1,50,13.167915694298
1,1,1,1,1,51,13.2808656776389
1,1,1,1,1,52,13.3586670868124
1,1,1,1,1,53,13.3699760320298
1,1,1,1,1,54,13.2951403016388
1,1,1,1,1,55,13.1265216547123
1,1,1,1,1,56,12.8647214184875
1,1,1,1,1,57,12.5134998818181
1,1,1,1,1,58,12.0757824975772
1,1,1,1,1,59,11.551542315642
1,1,1,1,1,60,10.9360066503063
1,1,1,1,1,61,10.2162240698478
1,1,1,1,1,62,9.36586691725564
1,1,1,1,1,63,8.34120420745383
1,1,1,1,1,64,7.08232879174078
1,1,1,1,1,65,5.52485439010251
1,1,1,1,1,66,3.62528801402806
1,1,1,1,1,67,1.39909880804912
1,1,1,1,1,68,-1.03917852831274
1,1,1,1,1,69,-3.45587247698979
1,1,1,1,1,70,-5.52488710374946
1,1,1,1,1,71,-6.9071079255906
1,1,1,1,1,72,-7.35281653461582
1,1,1,1,1,73,-6.77931628786848
1,1,1,1,1,74,-5.28997102216459
1,1,1,1,1,75,-3.13831833328374
1,1,1,1,1,76,-0.653531168587316
1,1,1,1,1,77,1.84531892009977
1,1,1,1,1,78,4.11955760201913
1,1,1,1,1,79,6.04229895148351
1,1,1,1,1,80,7.59080545263784
1,1,1,1,1,81,8.81227376277989
1,1,1,1,1,82,9.78420867721314
1,1,1,1,1,83,10.5801240791827
1,1,1,1,1,84,11.2459525734463
1,1,1,1,1,85,11.7872018493734
1,1,1,1,1,86,12.168229213797
1,1,1,1,1,87,12.3244732949431
1,1,1,1,1,88,12.1872761191101
1,1,1,1,1,89,11.7146931060395
1,1,1,1,1,90,10.9184406305504
1,1,1,1,1,91,9.87678184444612
1,1,1,1,1,92,8.72566748427558
1,1,1,1,1,93,7.62873227169763
1,1,1,1,1,94,6.73681116787959
1,1,1,1,1,95,6.1529760498324
1,1,1,1,1,96,5.91305178791177
1,1,1,1,1,97,5.98441922122409
1,1,1,1,1,98,6.27631083137266
1,1,1,1,1,99,6.65686294616893
1,1,1,1,1,100,6.97493437638333
